愛,アイ
随分,ズイブン
頭巾,ズキン
ずく,ズク
ずたずた,ズタズタ
ズック,ズック
ずぼら,ズボラ
ズボン,ズボン
背,セ
せい,セイ
姓,セイ
性,セイ
生,セイ
製,セイ
世紀,セイキ
性急,セイキュウ
正義,セイギ
成功,セイコウ
正誤,セイゴ
制裁,セイサイ
制作,セイサク
静粛,セイシュク
清書,セイショ
精神,セイシン
聖人,セイジン
成績,セイセキ
製造,セイゾウ
盛大,セイダイ
生徒,セイト
制服,セイフク
姓名,セイメイ
西洋,セイヨウ
成立,セイリツ
勢力,セイリョク
清和,セイワ
世界,セカイ
倅,セガレ
席,セキ
石,セキ
昔時,セキジ
席順,セキジュン
席上,セキジョウ
責任,セキニン
関の戸,セキノト
咳払い,セキバライ
席末,セキマツ
赤面,セキメン
世間,セケン
世間体,セケンテイ
世辞,セジ
せっかち,セッカチ
説教,セッキョウ
殺生,セッショウ
雪踏,セッタ
説,セツ
説明,セツメイ
説諭,セツユ
瀬戸,セト
瀬戸物,セトモノ
背戸,セド
背中,セナカ
責,セメ
芹川,セリカワ
世話,セワ
千,セン
線,セン
銭,セン
線香,センコウ
扇子,センス
